# Label,Runtime,INST_Tot,ENERGY_Tot,ENERGY_Proc,ENERGY_DRAM,Energy_Efficiency,EXEC,IPC,FREQ,AFREQ,L3MISS_Rate,L2MISS_Rate,L3HIT,L2HIT,L3MPI,L2MPI,READ_Rate,WRITE_Rate,INST_Rate,POWER_Total,POWER_Proc,POWER_DRAM
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000,119.951,12459900.0,70535.8,57382.7,13153.1,176.646468885,0.309074358974,0.287547008547,1.07702564103,1.23991452991,489.833348617,658.262957374,0.251743589744,0.507762393162,0.00470914529915,0.00631188034188,70.2845328509,38.2714608465,103874.915591,588.038449033,478.384507007,109.653942026
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2100000,124.081,12477560.0,65790.0,52377.6,13412.4,189.657394741,0.299138842975,0.339876033058,0.878479338843,0.999933884298,500.336876718,653.660915047,0.231720661157,0.504259504132,0.00494652892562,0.00645338842975,68.4609247185,37.3884801057,100559.795617,530.218163941,422.124257541,108.0939064
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2000000,124.166,12337420.0,62724.5,49545.4,13179.1,196.692201612,0.295366115702,0.357157024793,0.825996694215,0.95194214876,507.195206417,656.502585249,0.225071900826,0.504462809917,0.00506090909091,0.00654545454545,68.1772788042,37.268656476,99362.305301,505.166470692,399.025498123,106.140972569
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000,124.234,12245680.0,59966.6,46835.7,13130.9,204.208342644,0.293145454545,0.371553719008,0.78721322314,0.904867768595,508.250559428,656.217299612,0.22319338843,0.503723966942,0.00511033057851,0.0065958677686,67.9173978138,37.1675225784,98569.473735,482.690728786,376.995830449,105.694898337
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000,125.194,12258660.0,59425.82,46217.4,13208.42,206.285079449,0.291376065574,0.38768852459,0.752,0.856606557377,513.610875921,658.94851191,0.221063114754,0.503086065574,0.00517516393443,0.00666975409836,67.8345687493,37.0554339665,97917.3123313,474.669872358,369.166253974,105.503618384
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000,126.315,12177700.0,58693.28,45496.2,13197.08,207.480311204,0.286781463415,0.402382113821,0.711731707317,0.808658536585,514.165301033,654.324506195,0.213686178862,0.499530081301,0.00526130081301,0.0067306504065,66.8435973558,36.5118790326,96407.3942129,464.658037446,360.180501128,104.477536318
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1600000,127.206,12180640.0,58190.37,44919.5,13270.87,209.323982645,0.284891290323,0.424137096774,0.670874596774,0.761741935484,522.341163153,658.52947188,0.207690322581,0.499635483871,0.00537822580645,0.00681475806452,66.7348002453,36.4142807729,95755.2316715,457.449884439,353.124066475,104.325817965
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1500000,131.572,12359320.0,58715.83,45294.3,13421.53,210.49383105,0.279635859375,0.442109375,0.630698515625,0.7137578125,514.748730733,643.096555498,0.2000546875,0.492409375,0.005384375,0.006764296875,64.5580366643,35.5218739549,93935.7918098,446.263870732,344.254856656,102.009014076
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1400000,123.276,11663450.0,55929.37,42779.9,13149.47,208.538912561,0.281480666667,0.475783333333,0.589156583333,0.666783333333,560.2387326,691.615561829,0.1921525,0.494565,0.00583933333333,0.00725191666667,68.8105389532,37.3888185859,94612.4955385,453.692283981,347.025373958,106.666910023
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1300000,119.27,11315600.0,54295.98,41293.5,13002.48,208.405852514,0.28232862069,0.511224137931,0.550380344828,0.618905172414,591.876582544,720.864425254,0.181210344828,0.492043965517,0.00619620689655,0.0075975862069,70.9682904335,38.2682988178,94873.8157122,455.23585143,346.218663537,109.017187893
