# Label,Runtime,INST_Tot,ENERGY_Tot,ENERGY_Proc,ENERGY_DRAM,Energy_Efficiency,EXEC,IPC,FREQ,AFREQ,L3MISS_Rate,L2MISS_Rate,L3HIT,L2HIT,L3MPI,L2MPI,READ_Rate,WRITE_Rate,INST_Rate,POWER_Total,POWER_Proc,POWER_DRAM
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000,23.374,1115050.0,12473.7,10074.7,2399.0,89.3920809383,0.142243478261,0.147830434783,1.12491304348,1.23956521739,659.95122786,1471.44262856,0.439952173913,0.136581304348,0.035494,0.0627031304348,48.0940361085,44.7240523659,47704.7146402,533.657054847,431.021647985,102.635406862
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2100000,24.383,1133620.0,11821.5,9342.8,2478.7,95.8947680074,0.138725,0.176920833333,0.909833333333,0.999541666667,647.734077021,1423.51228315,0.434329166667,0.135570416667,0.031465,0.057085625,47.2050198909,43.7128327113,46492.2281918,484.825493171,383.168601075,101.656892097
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2000000,24.436,1114280.0,10771.45,8353.5,2417.95,103.447539561,0.136138333333,0.177608333333,0.844875,0.947291666667,629.036667212,1396.37829432,0.442254166667,0.140645416667,0.0322329166667,0.0585342083333,45.6940988705,41.9188901621,45599.9345228,440.802504502,341.8521853,98.9503192012
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000,25.384,1116810.0,10589.66,8103.4,2486.26,105.46230946,0.1312232,0.1936,0.7960648,0.90092,619.05609833,1359.29325559,0.434228,0.131564,0.03361368,0.05895292,44.7379451623,41.4240860384,43996.6120391,417.178537662,319.232587457,97.9459502049
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000,24.45,1114090.0,10263.2,7821.3,2441.9,108.551913633,0.129983333333,0.191104166667,0.763583333333,0.856875,631.664621677,1396.05316973,0.4396375,0.133720833333,0.0326154166667,0.0583531666667,45.727198364,42.0478527607,45566.0531697,419.762781186,319.889570552,99.8732106339
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000,25.404,1115510.0,10258.0,7782.2,2475.8,108.745369468,0.131152,0.20676,0.71604,0.80824,613.515194458,1351.56274602,0.4347,0.1346228,0.03342732,0.0592952,44.3287277594,40.806290348,43910.8014486,403.794678003,306.337584632,97.4570933711
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1600000,25.47,1116520.0,10157.34,7661.1,2496.24,109.922479704,0.1305068,0.20954,0.6847724,0.76032,616.2803298,1348.72398901,0.43072,0.1371848,0.03375748,0.05915548,44.4675696898,41.2062426384,43836.6705929,398.79623086,300.789163722,98.0070671378
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1500000,24.412,1114190.0,10017.19,7536.1,2481.09,111.227799413,0.1307936,0.21894,0.6418868,0.71252,638.667868262,1399.63132885,0.428528,0.1343908,0.03258844,0.05707628,46.0908159921,42.5202359495,45641.0781583,410.338767819,308.704735376,101.634032443
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1400000,26.474,1115590.0,10112.62,7579.5,2533.12,110.31661429,0.125698076923,0.231065384615,0.587534615385,0.666423076923,593.31381733,1293.24242653,0.424207692308,0.137161538462,0.0327370384615,0.0575739230769,42.6661630279,39.4993956335,42139.0798519,381.983077737,286.299765808,95.6833119287
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1300000,26.547,1121790.0,10099.58,7535.0,2564.58,111.072935706,0.126001538462,0.243,0.556961153846,0.618538461538,604.025690285,1301.65367085,0.417923076923,0.136846153846,0.0310113076923,0.0549771153846,43.2829698271,40.254492033,42256.7521754,380.441481147,283.836215015,96.6052661318
