System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-24;11:36:39.468;0.297;1.18;0.251;1;3.79;15.2;0.751;0.998;3.75e-05;0.000151;0.319;0.134;1.01e+05;8.54e+04;2.13e+03;2.36;59.1;0.594;14.8;351;25.1;16.5;0.0228;58.4;0;0;0;0;0;298;41.2;1.18;1.18;1;1;3.67;6.32;0.42;0.999;3.64e-05;6.28e-05; 50800;117;191;0.0846;0.0304;35;0.00213;1.25;0.00171;1;0.05;5.27;0.991;0.0225;0.000277;0.0291; 44000;0;1;0.0764;0.0342;49;0.000621;0.574;0.00108;1;0.0371;1.76;0.979;0.0259;0.000702;0.0333; 31680;0;3;0.0787;0.0349;51;0.000558;0.998;0.000559;1;0.0334;1.87;0.982;0.012;0.000703;0.0395; 34240;0;12;0.0787;0.035;50;22.3;22;22.1;  0%;  0%;  0%;14.8;14.4;65.4;  0%;  0%;  0%;14.8;66.5;14.3;  0%;  0%;  0%;14.5;14.6;65.1;  0%;  0%;  0%;100;0.00821;0;0;0;0;0;0;0;0.171;32.9;0.00743;66.9;0;0;0;0;0;0.108;5.87;0.0837;93.9;0;0;0;0;0;0.0559;27.1;0;72.8;0;0;0;0;0;125;59;57.9;56.3;10.2 ;10.4 ;10.5 ;10.1 ;
2018-01-24;11:36:40.516;0.279;1.47;0.189;1;14.8;38.9;0.619;0.915;0.000153;0.000401;1.48;1.42;9.69e+04;6.57e+04;2.12e+03;2.95;73.7;0.557;13.9;2.12e+03;18.9;5.85;0.0701;75.2;0;58.2;0;1.42;0;256;32.7;1.12;1.48;0.755;1;14.6;23.7;0.382;0.946;0.000152;0.000245; 51040;546;1263;0.344;0.246;38;0.00306;1.12;0.00273;0.943;0.107;9.23;0.988;0.0185;0.0004;0.0346; 43680;1;3;0.377;0.394;49;0.00123;0.799;0.00154;0.955;0.0459;3.92;0.988;0.0188;0.000427;0.0365; 31360;1;2;0.38;0.392;51;0.000603;0.976;0.000617;0.91;0.0469;2.09;0.978;0.0127;0.000893;0.0398; 33120;0;11;0.377;0.391;50;269;267;265;  1%;  1%;  1%;37.2;37.4;366;  0%;  0%;  1%;37.5;365;36.8;  0%;  1%;  0%;37.2;37.8;362;  0%;  0%;  1%;75.5;4.61;0.182;19.7;0;0.646;0;1.43;0;0.29;6.69;0.0186;93;0;74;0;1.41;0;0.162;3.29;0.0724;96.5;0;79.4;0;1.41;0;0.0678;8.79;0.00847;91.1;0;78.4;0;1.43;0;93.7;53.6;56;52.3;9.75 ;7.76 ;8 ;7.17 ;
2018-01-24;11:36:41.534;0.402;1.61;0.25;1;1.14;13.3;0.915;0.98;8.21e-06;9.61e-05;0.132;0.144;1.39e+05;8.6e+04;2.2e+03;3.22;80.6;0.804;20.1;112;25;14.5;0.0231;60.6;0;0;0;0;0;291;37.1;1.6;1.61;0.99;1;0.939;3.19;0.705;0.995;6.8e-06;2.31e-05; 52000;102;242;0.0345;0.03;36;0.00245;1.15;0.00213;1;0.0912;4.51;0.98;0.0994;0.000432;0.0214; 45280;1;9;0.0307;0.0376;49;0.00139;0.85;0.00164;1;0.0555;4.48;0.988;0.0181;0.000463;0.0374; 31200;0;5;0.0329;0.038;51;0.00045;0.798;0.000564;1;0.0515;1.15;0.955;0.0775;0.00133;0.0296; 33200;2;5;0.0338;0.0388;50;17.6;16;17.1;  0%;  0%;  0%;3.49;3.19;14.2;  0%;  0%;  0%;3.56;14.2;2.76;  0%;  0%;  0%;2.86;3.57;13.8;  0%;  0%;  0%;99;0.872;0.0302;0.0657;0;0;0;0;0;0.213;13.8;0.00452;86;0;0;0;0;0;0.164;9.42;0.0541;90.4;0;0;0;0;0;0.0564;33.9;0.00363;66.1;0;0;0;0;0;117;56.5;59;57.6;9.52 ;9.29 ;9.32 ;8.92 ;
2018-01-24;11:36:42.545;0.374;1.49;0.251;1;0.896;13.6;0.934;0.981;7.02e-06;0.000107;0.25;0.36;1.28e+05;8.58e+04;2.14e+03;2.98;74.4;0.748;18.7;311;25.1;21.5;0.0152;53.3;0;0;0;0;0;295;37.6;1.49;1.49;1;1;0.784;2.64;0.703;0.996;6.15e-06;2.07e-05; 53840;106;237;0.0415;0.0642;38;0.00213;1.21;0.00176;1;0.0514;5.31;0.99;0.0217;0.000283;0.0292; 45280;0;1;0.0688;0.0998;49;0.00126;0.839;0.0015;1;0.0412;3.96;0.99;0.0189;0.000383;0.0368; 31200;0;2;0.07;0.0971;51;0.000509;1.11;0.000456;1;0.0199;1.72;0.988;0.0114;0.000459;0.0396; 32960;0;0;0.0698;0.0989;50;66.5;65.2;65.2;  0%;  0%;  0%;5.39;4.15;28.7;  0%;  0%;  0%;5.26;29.6;4.52;  0%;  0%;  0%;4.58;4.07;28;  0%;  0%;  0%;100;0.000266;0;0;0;0;0;0;0;0.176;40.9;0.00147;58.9;0;0;0;0;0;0.15;11.8;0.052;88;0;0;0;0;0;0.0456;33.4;0.00739;66.6;0;0;0;0;0;119;60.5;59;57;9.54 ;9.42 ;9.52 ;9.15 ;
2018-01-24;11:36:43.556;0.103;0.412;0.251;1;0.228;9.43;0.976;0.11;6.5e-06;0.000268;0.106;0.109;3.52e+04;8.53e+04;2.12e+03;0.824;20.6;0.207;5.17;61.6;25.1;19.2;0.0148;55.7;0;0;0;0;0;270;31.8;0.41;0.41;1;1;0.0924;0.486;0.81;0.64;2.65e-06;1.4e-05; 54080;19;44;0.023;0.0244;38;0.00229;1.17;0.00195;1;0.0618;5.33;0.988;0.0283;0.000318;0.0275; 45120;1;1;0.0264;0.0282;49;0.000657;0.576;0.00114;1;0.0445;1.85;0.976;0.0278;0.000798;0.0332; 31600;0;5;0.0276;0.0277;51;0.000832;1.24;0.00067;1;0.0298;1.76;0.983;0.054;0.000422;0.0249; 34080;1;3;0.0288;0.0288;50;11.1;9.34;10.1;  0%;  0%;  0%;3.21;2.68;5.23;  0%;  0%;  0%;3.18;4.45;2.37;  0%;  0%;  0%;2.56;3.03;4.33;  0%;  0%;  0%;100;0.000316;0;0;0;0;0;0;0;0.195;35.3;0.00491;64.5;0;0;0;0;0;0.114;7.73;0.0472;92.1;0;0;0;0;0;0.067;33.6;0.00718;66.3;0;0;0;0;0;95;59.4;58.3;57.1;8.66 ;7.89 ;7.78 ;7.44 ;
2018-01-24;11:36:44.578;0.1;0.401;0.25;1;0.177;10.8;0.984;0.117;5.16e-06;0.000315;0.0683;0.0722;3.42e+04;8.53e+04;2.12e+03;0.803;20.1;0.201;5.02;57.9;25;6.32;0.0199;68.6;0;53.3;0;0;0;256;26.4;0.399;0.399;1;1;0.0706;0.384;0.816;0.695;2.08e-06;1.13e-05; 57920;26;33;0.0221;0.0242;39;0.00263;1.3;0.00202;0.888;0.0488;5.4;0.991;0.0812;0.000217;0.024; 45520;2;1;0.0154;0.0171;50;0.0011;0.756;0.00145;0.967;0.039;3.36;0.988;0.0187;0.000417;0.0359; 31360;2;0;0.0149;0.0152;51;0.00049;1.04;0.000471;0.945;0.0183;1.65;0.989;0.0122;0.000437;0.0394; 34160;0;1;0.0158;0.0158;50;10.9;9.4;9.8;  0%;  0%;  0%;2.82;2.13;5.15;  0%;  0%;  0%;2.85;4.18;2.14;  0%;  0%;  0%;2.2;2.17;4.21;  0%;  0%;  0%;100;0.000152;0;0;0;0;0;0;0;0.228;12.5;0.00853;87.2;0;64.4;0;0;0;0.15;3.17;0.064;96.6;0;73.9;0;0;0;0.0499;9.55;0.00719;90.4;0;74.7;0;0;0;95.7;53.8;55.3;51.4;8.65 ;6.27 ;5.96 ;5.55 ;
2018-01-24;11:36:45.587;0.101;0.401;0.252;1;0.162;12.5;0.987;0.083;4.7e-06;0.000362;0.0921;0.103;3.46e+04;8.61e+04;2.15e+03;0.803;20.1;0.202;5.06;64.5;25.2;22;0.0169;52.8;0;18;0;0;0;268;29.5;0.399;0.399;1;1;0.0691;0.385;0.821;0.703;2.02e-06;1.13e-05; 54320;29;46;0.0215;0.0255;39;0.00212;1.26;0.00169;1;0.0384;5.26;0.993;0.022;0.000213;0.0291; 45520;0;2;0.0264;0.0296;49;0.00163;0.928;0.00175;0.952;0.0376;5.19;0.993;0.0161;0.000271;0.0374; 31520;0;1;0.0157;0.018;51;0.0005;1.12;0.000445;1;0.0172;1.68;0.99;0.0109;0.000402;0.0395; 33920;0;1;0.0285;0.0303;50;12.5;12.2;12.1;  0%;  0%;  0%;2.85;1.98;4.64;  0%;  0%;  0%;2.81;4.6;2.19;  0%;  0%;  0%;2.23;2.02;4.31;  0%;  0%;  0%;100;0.00037;0;0;0;0;0;0;0;0.169;45.8;0.000985;54;0;0;0;0;0;0.184;2.14;0.0597;97.6;0;72;0;0;0;0.0445;40.1;0.00718;59.9;0;0;0;0;0;94.4;61;54.5;58.1;8.53 ;7.74 ;5.88 ;7.32 ;
2018-01-24;11:36:46.597;0.102;0.407;0.251;1;0.235;12;0.98;0.12;6.79e-06;0.000346;0.103;0.118;3.47e+04;8.52e+04;2.12e+03;0.814;20.4;0.204;5.11;85.6;25.1;20.5;0.0189;54.4;0;17.7;0;0;0;268;29.7;0.404;0.404;1;1;0.0899;0.439;0.795;0.687;2.62e-06;1.28e-05; 57200;29;53;0.0233;0.0286;39;0.00277;1.24;0.00223;1;0.0697;5.4;0.987;0.0879;0.000297;0.023; 46560;2;6;0.0292;0.0332;49;0.00143;0.869;0.00164;0.943;0.0507;4.5;0.989;0.0169;0.000419;0.0372; 31520;0;4;0.0184;0.0223;51;0.000565;1.06;0.000534;1;0.0251;1.68;0.985;0.043;0.000524;0.035; 34880;1;3;0.0316;0.0343;50;16.5;16;15.5;  0%;  0%;  0%;4;3.15;6.53;  0%;  0%;  0%;4.08;5.69;2.7;  0%;  0%;  0%;2.77;3.38;5.38;  0%;  0%;  0%;100;0.000194;0;0;0;0;0;0;0;0.223;41.9;0.00485;57.8;0;0;0;0;0;0.174;3.46;0.0632;96.3;0;70.7;0;0;0;0.0534;36.6;0.00751;63.4;0;0;0;0;0;94.7;60.5;54.8;57.8;8.53 ;7.82 ;5.95 ;7.35 ;
2018-01-24;11:36:47.607;0.103;0.409;0.251;1;0.174;9.13;0.981;0.113;5.01e-06;0.000262;0.109;0.126;3.48e+04;8.51e+04;2.12e+03;0.818;20.4;0.205;5.13;76.8;25.1;18.6;0.0161;56.3;0;0;0;0;0;269;31.3;0.407;0.407;1;1;0.0827;0.427;0.806;0.695;2.39e-06;1.24e-05; 54160;24;60;0.022;0.0275;39;0.00212;1.25;0.00169;1;0.0383;5.22;0.993;0.0219;0.000213;0.0291; 46560;0;3;0.0278;0.0321;49;0.00063;0.581;0.00108;1;0.0341;1.8;0.981;0.0262;0.000637;0.0336; 31440;1;0;0.0293;0.033;51;0.000505;1.09;0.000463;1;0.0194;1.69;0.989;0.0125;0.000452;0.0393; 34320;0;3;0.0301;0.0331;50;15.3;15.1;15.4;  0%;  0%;  0%;2.93;2.32;5.28;  0%;  0%;  0%;2.88;5.12;2.37;  0%;  0%;  0%;2.51;2.45;5.24;  0%;  0%;  0%;100;0.000387;0;0;0;0;0;0;0;0.169;38.5;0;61.4;0;0;0;0;0;0.108;6.24;0.0566;93.6;0;0;0;0;0;0.0463;29.6;0.0077;70.4;0;0;0;0;0;94.8;59.8;57.9;56.5;8.53 ;7.75 ;7.78 ;7.26 ;
2018-01-24;11:36:48.618;0.104;0.414;0.251;0.999;0.241;10.2;0.977;0.136;6.82e-06;0.000291;0.0785;0.0913;3.53e+04;8.52e+04;2.12e+03;0.828;20.7;0.208;5.2;81.4;25.1;6.83;0.0223;68;0;49.6;0;0;0;254;26.2;0.411;0.411;1;1;0.103;0.443;0.768;0.681;2.94e-06;1.27e-05; 54160;26;57;0.0235;0.0276;39;0.00279;1.22;0.00228;0.847;0.0642;5.46;0.988;0.0879;0.000272;0.0231; 47920;3;5;0.0182;0.0217;49;0.00091;0.676;0.00135;0.902;0.0471;2.69;0.983;0.0224;0.00061;0.0349; 31120;0;2;0.0177;0.021;51;0.000553;1.01;0.000545;0.942;0.0267;1.65;0.984;0.042;0.000569;0.0352; 33600;1;3;0.0192;0.0209;49;15.8;14.7;14.6;  0%;  0%;  0%;3.66;3.02;6.39;  0%;  0%;  0%;3.65;5.33;2.76;  0%;  0%;  0%;2.86;3.26;5.43;  0%;  0%;  0%;100;0.000212;0;0;0;0;0;0;0;0.269;13.7;0.0274;86;0;60.1;0;0;0;0.149;2.31;0.0543;97.5;0;68.8;0;0;0;0.0579;11.3;0.00759;88.6;0;69.3;0;0;0;94.7;53.5;54.6;51.2;8.59 ;6 ;5.93 ;5.67 ;
2018-01-24;11:36:49.628;0.266;1.06;0.251;1;0.916;14.6;0.937;0.969;1.02e-05;0.000162;0.142;0.151;9.02e+04;8.52e+04;2.12e+03;2.12;52.9;0.532;13.3;138;25.1;18.9;0.0157;56;0;0;0;0;0;283;36.3;1.06;1.06;1;1;0.783;3.33;0.765;0.993;8.71e-06;3.71e-05; 55120;39;79;0.0372;0.0331;37;0.0023;1.2;0.00192;1;0.0611;5.35;0.989;0.0283;0.000313;0.0275; 46800;0;8;0.0338;0.0391;49;0.00133;0.86;0.00154;1;0.0464;4.23;0.989;0.0181;0.000413;0.0376; 31360;0;2;0.0353;0.0388;51;0.000564;1.07;0.000527;1;0.0252;1.7;0.985;0.0392;0.000526;0.0354; 34080;0;2;0.0358;0.0398;50;21.5;20.6;20.2;  0%;  0%;  0%;4.46;3.47;18;  0%;  0%;  0%;4.36;17.9;3.4;  0%;  0%;  0%;3.51;3.51;16.9;  0%;  0%;  0%;100;0.000728;0;0;0;0;0;0;0;0.192;42.6;0.00664;57.3;0;0;0;0;0;0.154;5.87;0.0484;93.9;0;0;0;0;0;0.0527;27;0.0077;72.9;0;0;0;0;0;109;60.5;58;55.9;9.3 ;9.12 ;9.14 ;8.75 ;
2018-01-24;11:36:50.650;0.297;1.19;0.25;1;4.32;18.2;0.763;0.997;4.26e-05;0.00018;0.401;0.284;1.01e+05;8.53e+04;2.12e+03;2.38;59.4;0.595;14.9;469;25;16.5;0.0172;58.5;0;0;0;0;0;300;41.8;1.19;1.19;1;1;4.19;7.6;0.448;0.999;4.15e-05;7.53e-05; 51840;97;228;0.1;0.0496;36;0.0026;1.21;0.00214;1;0.0592;5.35;0.989;0.0848;0.000266;0.0241; 47440;1;3;0.0976;0.0777;49;0.00113;0.812;0.00139;1;0.0442;3.57;0.988;0.0185;0.000459;0.0371; 31280;1;1;0.104;0.0788;51;0.0005;1.06;0.00047;1;0.0202;1.68;0.988;0.0115;0.000473;0.0395; 34160;0;1;0.0993;0.0776;50;47.3;47.1;45.2;  0%;  0%;  0%;14;12.6;82.3;  0%;  0%;  0%;14.1;86.5;13.2;  0%;  0%;  0%;13.3;12.7;81;  0%;  0%;  0%;100;0.000279;0;0;0;0;0;0;0;0.214;30.6;0.011;69.2;0;0;0;0;0;0.139;7.3;0.0482;92.5;0;0;0;0;0;0.047;28;0.00945;72;0;0;0;0;0;125;59.2;58.9;57;10.2 ;10.6 ;10.7 ;10.2 ;
